X;CH1;CH2
Second;Volt;Volt
-3,28E-03;-4,88E+00;-1,60E-01
-3,26E-03;-4,64E+00;-1,68E-01
-3,24E-03;-4,40E+00;-1,60E-01
-3,22E-03;-4,24E+00;-1,68E-01
-3,20E-03;-4,08E+00;-1,68E-01
-3,18E-03;-3,92E+00;-1,60E-01
-3,16E-03;-3,76E+00;-1,60E-01
-3,14E-03;-3,60E+00;-1,60E-01
-3,12E-03;-3,44E+00;-1,60E-01
-3,10E-03;-3,20E+00;-1,60E-01
-3,08E-03;-3,04E+00;-1,60E-01
-3,06E-03;-2,80E+00;-1,60E-01
-3,04E-03;-2,72E+00;-1,60E-01
-3,02E-03;-2,56E+00;-1,60E-01
-3,00E-03;-2,32E+00;-1,60E-01
-2,98E-03;-2,16E+00;-1,68E-01
-2,96E-03;-2,00E+00;-1,68E-01
-2,94E-03;-1,84E+00;-1,68E-01
-2,92E-03;-1,60E+00;-1,60E-01
-2,90E-03;-1,44E+00;-1,68E-01
-2,88E-03;-1,28E+00;-1,60E-01
-2,86E-03;-1,04E+00;-1,68E-01
-2,84E-03;-9,60E-01;-1,68E-01
-2,82E-03;-8,00E-01;-1,60E-01
-2,80E-03;-5,60E-01;-1,60E-01
-2,78E-03;-4,00E-01;-1,60E-01
-2,76E-03;-1,60E-01;-1,60E-01
-2,74E-03;-7,99E-02;-1,68E-01
-2,72E-03;7,99E-02;-1,68E-01
-2,70E-03;3,20E-01;-1,68E-01
-2,68E-03;4,80E-01;-1,60E-01
-2,66E-03;6,40E-01;-1,60E-01
-2,64E-03;8,00E-01;-1,68E-01
-2,62E-03;1,04E+00;-1,68E-01
-2,60E-03;1,12E+00;-1,68E-01
-2,58E-03;1,36E+00;-1,60E-01
-2,56E-03;1,52E+00;-1,68E-01
-2,54E-03;1,68E+00;-1,60E-01
-2,52E-03;1,92E+00;-1,60E-01
-2,50E-03;2,08E+00;-1,60E-01
-2,48E-03;2,24E+00;-1,60E-01
-2,46E-03;2,40E+00;-1,60E-01
-2,44E-03;2,64E+00;-1,60E-01
-2,42E-03;2,72E+00;-1,60E-01
-2,40E-03;2,72E+00;-1,52E-01
-2,38E-03;2,88E+00;-1,44E-01
-2,36E-03;2,88E+00;-1,36E-01
-2,34E-03;2,88E+00;-1,28E-01
-2,32E-03;2,88E+00;-1,12E-01
-2,30E-03;2,96E+00;-8,79E-02
-2,28E-03;2,96E+00;-7,99E-02
-2,26E-03;2,96E+00;-7,99E-02
-2,24E-03;2,96E+00;-5,60E-02
-2,22E-03;2,96E+00;-4,80E-02
-2,20E-03;2,96E+00;-4,00E-02
-2,18E-03;3,04E+00;-2,40E-02
-2,16E-03;3,04E+00;-1,60E-02
-2,14E-03;3,04E+00;-8,00E-03
-2,12E-03;3,04E+00;8,00E-03
-2,10E-03;3,12E+00;8,00E-03
-2,08E-03;3,12E+00;2,40E-02
-2,06E-03;3,04E+00;4,00E-02
-2,04E-03;3,20E+00;4,00E-02
-2,02E-03;3,20E+00;5,60E-02
-2,00E-03;3,12E+00;7,20E-02
-1,98E-03;3,20E+00;7,99E-02
-1,96E-03;3,12E+00;8,79E-02
-1,94E-03;3,20E+00;9,60E-02
-1,92E-03;3,20E+00;1,12E-01
-1,90E-03;3,28E+00;1,20E-01
-1,88E-03;3,28E+00;1,36E-01
-1,86E-03;3,28E+00;1,44E-01
-1,84E-03;3,28E+00;1,52E-01
-1,82E-03;3,28E+00;1,76E-01
-1,80E-03;3,28E+00;1,84E-01
-1,78E-03;3,28E+00;1,92E-01
-1,76E-03;3,36E+00;2,08E-01
-1,74E-03;3,28E+00;2,16E-01
-1,72E-03;3,36E+00;2,24E-01
-1,70E-03;3,36E+00;2,40E-01
-1,68E-03;3,36E+00;2,48E-01
-1,66E-03;3,36E+00;2,56E-01
-1,64E-03;3,44E+00;2,64E-01
-1,62E-03;3,44E+00;2,80E-01
-1,60E-03;3,44E+00;2,88E-01
-1,58E-03;3,44E+00;2,96E-01
-1,56E-03;3,52E+00;3,12E-01
-1,54E-03;3,44E+00;3,20E-01
-1,52E-03;3,52E+00;3,36E-01
-1,50E-03;3,52E+00;3,44E-01
-1,48E-03;3,52E+00;3,52E-01
-1,46E-03;3,52E+00;3,60E-01
-1,44E-03;3,52E+00;3,76E-01
-1,42E-03;3,52E+00;3,84E-01
-1,40E-03;3,60E+00;3,92E-01
-1,38E-03;3,60E+00;4,08E-01
-1,36E-03;3,60E+00;4,16E-01
-1,34E-03;3,60E+00;4,32E-01
-1,32E-03;3,52E+00;4,40E-01
-1,30E-03;3,60E+00;4,56E-01
-1,28E-03;3,60E+00;4,72E-01
-1,26E-03;3,68E+00;4,72E-01
-1,24E-03;3,68E+00;4,80E-01
-1,22E-03;3,68E+00;4,80E-01
-1,20E-03;3,68E+00;4,56E-01
-1,18E-03;3,68E+00;4,56E-01
-1,16E-03;3,60E+00;4,32E-01
-1,14E-03;3,60E+00;4,24E-01
-1,12E-03;3,60E+00;4,08E-01
-1,10E-03;3,60E+00;4,00E-01
-1,08E-03;3,60E+00;3,84E-01
-1,06E-03;3,52E+00;3,84E-01
-1,04E-03;3,52E+00;3,68E-01
-1,02E-03;3,52E+00;3,52E-01
-1,00E-03;3,52E+00;3,44E-01
-9,80E-04;3,52E+00;3,36E-01
-9,60E-04;3,52E+00;3,28E-01
-9,40E-04;3,52E+00;3,20E-01
-9,20E-04;3,44E+00;3,12E-01
-9,00E-04;3,52E+00;3,04E-01
-8,80E-04;3,44E+00;2,88E-01
-8,60E-04;3,44E+00;2,72E-01
-8,40E-04;3,44E+00;2,72E-01
-8,20E-04;3,36E+00;2,56E-01
-8,00E-04;3,36E+00;2,48E-01
-7,80E-04;3,36E+00;2,32E-01
-7,60E-04;3,36E+00;2,24E-01
-7,40E-04;3,36E+00;2,16E-01
-7,20E-04;3,36E+00;2,08E-01
-7,00E-04;3,28E+00;1,92E-01
-6,80E-04;3,28E+00;1,84E-01
-6,60E-04;3,28E+00;1,76E-01
-6,40E-04;3,28E+00;1,52E-01
-6,20E-04;3,28E+00;1,44E-01
-6,00E-04;3,28E+00;1,36E-01
-5,80E-04;3,28E+00;1,20E-01
-5,60E-04;3,20E+00;1,12E-01
-5,40E-04;3,20E+00;1,04E-01
-5,20E-04;3,20E+00;8,79E-02
-5,00E-04;3,20E+00;7,99E-02
-4,80E-04;3,20E+00;7,20E-02
-4,60E-04;3,12E+00;5,60E-02
-4,40E-04;3,12E+00;4,80E-02
-4,20E-04;3,12E+00;4,00E-02
-4,00E-04;3,12E+00;2,40E-02
-3,80E-04;3,12E+00;1,60E-02
-3,60E-04;3,12E+00;8,00E-03
-3,40E-04;3,04E+00;-8,00E-03
